encounter_number,dataset_facility_name,matched_mrf_location,hospital_address,hospital_latitude,hospital_longitude,cms_hpt_url,local_cms_hpt_file,mrf_url,mrf_filename,local_mrf_directory,local_mrf_file,mrf_format,download_status
2,CAMBRIDGE PUBLIC HEALTH COMMISSION,Cambridge Health Alliance,"1493 Cambridge Street, Cambridge, MA 02139",42.3735,-71.101,https://www.challiance.org/cms-hpt.txt,cms_hpt/challiance_org.cms-hpt.txt,https://www.challiance.org/File%20Library/Uploads/PriceTransparency20262320.csv,PriceTransparency20262320.csv,cms_hpt/mrfs,cms_hpt/mrfs/PriceTransparency20262320.csv,csv,downloaded
5,CHILDREN'S HOSPITAL CORPORATION,Boston Children's Longwood,"300 Longwood Avenue, Boston, MA 02115",42.3372,-71.1057,https://www.childrenshospital.org/cms-hpt.txt,cms_hpt/childrenshospital_org.cms-hpt.txt,https://www.childrenshospital.org/sites/default/files/cms-hpt/comp-2026/04-2774441_Boston-Childrens-Longwood_StandardCharges.json,04-2774441_Boston-Childrens-Longwood_StandardCharges.json,cms_hpt/mrfs,cms_hpt/mrfs/04-2774441_Boston-Childrens-Longwood_StandardCharges.json,json,downloaded
9,ENCOMPASS HEALTH REHAB HOSPITAL OF WESTERN MASS,Encompass Health Rehabilitation Hospital of Western Massachusetts,"222 State Street, Ludlow, MA 01056",42.1806,-72.4514,https://www.encompasshealth.com/cms-hpt.txt,cms_hpt/encompasshealth_western_mass.cms-hpt.snippet.txt,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/042987822_Encompass-Health-Rehabilitation-Hospital-of-Western-Massachusetts_standardcharges.csv,042987822_Encompass-Health-Rehabilitation-Hospital-of-Western-Massachusetts_standardcharges.csv,cms_hpt/mrfs,cms_hpt/mrfs/042987822_Encompass-Health-Rehabilitation-Hospital-of-Western-Massachusetts_standardcharges.csv,csv,downloaded
16,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",Lahey Hospital & Medical Center,"41 Mall Road, Burlington, MA 01805",42.4998,-71.2109,https://www.lahey.org/cms-hpt.txt,cms_hpt/lahey_org.cms-hpt.txt,https://www.lahey.org/042704686_lahey-hospital-medical-center-burlington_standardcharges.json,042704686_lahey-hospital-medical-center-burlington_standardcharges.json,cms_hpt/mrfs,cms_hpt/mrfs/042704686_lahey-hospital-medical-center-burlington_standardcharges.json,json,downloaded
17,SOUTH SHORE HOSPITAL INC.,South Shore Hospital,"55 Fogg Road, South Weymouth, MA 02190",42.1668,-70.9495,https://www.southshorehealth.org/cms-hpt.txt,cms_hpt/southshorehealth_org.cms-hpt.txt,https://zencloud-southshorehealth.s3.us-east-1.amazonaws.com/www.southshorehealth.org/assets/2026-03/042769210_south-shore-hospital_standardcharges.json,042769210_south-shore-hospital_standardcharges.json,cms_hpt/mrfs,cms_hpt/mrfs/042769210_south-shore-hospital_standardcharges.json,json,downloaded
18,THE LOWELL GENERAL HOSPITAL,Lowell General Hospital,"295 Varnum Avenue, Lowell, MA 01854",42.6553,-71.3506,https://www.tuftsmedicine.org/cms-hpt.txt,cms_hpt/tuftsmedicine_org.cms-hpt.txt,https://www.tuftsmedicine.org/sites/default/files/2026-03/042103590_lowellgeneralhospital_standardcharges.csv.zip,042103590_lowellgeneralhospital_standardcharges.csv.zip,cms_hpt/mrfs,,csv.zip,not_downloaded
